,Project,Website,Protocols,DefiSafety Score,Audit,Github
121,AutoShark Finance,https://medium.com/autosharkfin/how-autoshark-got-economically-exploited-3c644de5073a,"['BnB Smart Chain', 'Polygon']",38%,"['No evidence of a AutoShark Finance code coverage was found in any of their documentation or in their audit reports by TechRate and WatchPug.', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\nTechRate published a AutoShark Finance audit report in May 2021, which was pre-exploit and pre-relaunch.\n\xa0- WatchPug published a second AutoSharkwhich audit  was right before their v2 mainnet launch following the exploit.\n\xa0\n']",https://autosharkgw.gitbook.io/autoshark/general/contracts
122,InsurAce,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Avalanche', 'BnB Smart Chain', 'Ethereum', 'Polygon']",44%,"['There is no evidence of any code coverage on any of the InsurAce GitHub repositories or in any of their audit reports.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'InsurAce released their mainnet on April 26th 2021 following their Slowmist audit report.\n\xa0\n\xa0PeckShield Published an InsurAce Audit Report on July 12th 2021.\n\xa0\n\xa0**Note: **Most of the fix recommendation were implemented by the InsurAce team.\n\xa0\n\xa0Note 2: They get -25% here due to the code being in a private repo = 65%']",#review-appendices
123,Jetswap,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['BnB Smart Chain'],36%,"['They are available at website https://docs.jetswap.finance/audits as indicated in the Appendix.', 'There is no evidence of code coverage in their public audit reports.', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bHash0x published a Jetswap audit report on April 21st 2021.\u200b\n\xa0\n\xa0EtherAuthority published a Jetswap audit report on March 23rd 2021.\n\xa0\n\xa0Note: Jetswap was released on May 19th 2021.\nNote 2: Almost all the fix recommendations were implemented by the Jetswap team.\n\xa0']",#review-appendices
124,Kebab Finance,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['BnB Smart Chain'],44%,"['No evidence of code coverage in their documentation or Certik audit, but there are some tests clearly evident.', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bCertik did a Kebab Finance audit on March 31st 2021\u200b\n\xa0Kebab Finance launched in early march 2021.\n\xa0Note: changes required and implemented']",#review-appendices
125,Graviton.one,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,"['BnB Smart Chain', 'Ethereum']",60%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'No 3rd party audits of Graviton.one were found']",#review-appendices
126,Keep Network,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Ethereum'],85%,"['There is no evidence of code coverage in any of the Keep Network documentation, nor in their ConsenSys audit report, Trail of Bits audit report, or in the Sergi Delgado audit report. However, Keep Network has very robust testing and CI in their software repositories.', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\n\u200bConsenSys Diligence published a Keep Network audit report in February 2020, which was before their mainnet launch in April 2021.\n\xa0- Trail of Bits published a Keep Netowrk audit report in June 2020, which was after their mannet launch in april 2021.\n\xa0- Sergei Delgado published a Keep Network audit report in May 2021, which was after their mainnet launch in April 2021.\n']",#review-appendices
127,Gearbox Protocol,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],88%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'This protocol has been subject to five separate audits, all of which were completed before deployment.']",https://etherscan.io/address/0x4f952c4c5415b2609899abdc2f8f352f600d14d6
128,Tomb Finance,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Fantom'],14%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'There is no evidence of any audits being performed.']",https://ftmscan.com/address/0x8764DE60236C5843D9faEB1B638fbCE962773B67#analytics
129,Ribbon Finance, ,"['Avalanche', 'Ethereum']",77%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Ribbon V2 was audited before and after launch by OpenZeppelin and ChainSafe.']",https://docs.ribbon.finance/developers/contract-addresses
130,Trader Joe,https://twitter.com/shunduquar/status/1534989160381136909,['Avalanche'],37%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""TraderJoe V1 was deployed before it's single audit.\n\xa0\n\xa0V3 was  audited pre-release. \n\xa0\n\xa0"", 'A timelock with a specific duration and what it applies to is identified, though this applies to just V2. The audit denotes that the current V3 contract does not have a timelock.  This means that the timelock documentation is no longer applicable.']",https://docs.traderjoexyz.com/main/security-and-contracts/contracts
131,SpookySwap,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Fantom'],70%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'CertiK has audited the project post-launch.']",https://ftmscan.com/address/0x2b2929e785374c651a81a63878ab22742656dcdd
132,DeFiKingdoms,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Harmony'],31%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'DeFiKingdoms was audited once post launch.']",https://explorer.harmony.one/address/0x24ad62502d1c652cc7684081169d04896ac20f30
133,Curve Finance, ,['Ethereum'],93%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Curve has been audited three times, two of which were pre-launch. ']",https://www.curve.fi/contracts
134,Platypus Finance,https://github.com/DeFiSafety/Process-Version-0.8,['Avalanche'],73%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Platypus Finance has been audited twice before deployment.']",https://github.com/DeFiSafety/Process-Version-0.8
135,Saddle Finance,https://rekt.news/saddle-finance-rekt2/,"['Arbitrum', 'Ethereum', 'Fantom', 'Optimism']",81%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Saddle was audited 3 times before release.']",https://docs.saddle.finance/contracts
136,Inverse Finance, ,['Ethereum'],14%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'No documented audits were found.']",https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf
137,Astroport,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Terra'],90%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Astroport was audited once before and once after launch.  Changes were implemented.']",https://github.com/astroport-fi/astroport-core
138,SpiritSwap,https://twitter.com/Spirit_Swap/status/1525216379041116160,['Fantom'],26%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'SpiritSwap was audited once post launch. ']",https://docs.spiritswap.finance/spirit-swap/contracts
139,TriSolaris,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Near', 'Aurora']",23%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'There is no evidence of any audits being performed.']",https://explorer.mainnet.aurora.dev/address/0x2CB45Edb4517d5947aFdE3BEAbF95A582506858B/transactions
140,Tornado Cash,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Arbitrum', 'Avalanche', 'BnB Smart Chain', 'Ethereum', 'Polygon', 'xDai / Gnosis', 'Optimism']",85%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""\nTornado Cash's Contracts were submitted for etherscan verification on the 16th of December 2019.\n\xa02. Tornado Cash's Smart Contracts repository were audited by on November 19th 2019.\n\xa03. There are a sizeable number of unresolved minor issues that are either commented on (to refute the issue) or scheduled to be fixed in future releases, despite no releases in over 2 years.\n\xa04. Tornado Cash Nova is has a rudimentary audit here, but is clearly stated as experimental.\n\xa0\n\xa0Due to the details mentioned in the points 1 and 2, this would earn Tornado Cash a 90% for a single smart contract audit performed before deployment. However, due to the large number of currently unresolved issues, I will be deducting 10% from their score for this question, bringing the question 16 score down to 80%.\n\xa0\n""]",javascript:void(0)
141,Katana,https://github.com/DeFiSafety/Process-Version-0.8,['Ronin'],5%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Katana is unaudited.']",https://docs.defisafety.com/v/0.8/review-process-documentation/0.8-blank#team-appendix
142,Allbridge,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Avalanche', 'BnB Smart Chain', 'Celo', 'Ethereum', 'Fantom', 'HECO', 'Polygon', 'Solana', 'Terra', 'Aurora', 'Harmony']",28%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'This protocol has undergone an audit on two contracts, but these contracts cannot be found in their GitHub repository. Hacken also lists this as a ""Token Audit"". This audit was conducted before launch, though goes into very little detail. Therefore, we have decided to give them 30% for this question - ""Audit(s) performed are low-quality and do not indicate proper due diligence.""']",https://bscscan.com/address/0xBBbD1BbB4f9b936C3604906D7592A644071dE884
143,Element Finance,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],95%,"['A detailed, full code coverage report is available here at: https://github.com/element-fi/elf-contracts/blob/main/audits/test-report.md\u200b.', 'This section looks at the 3rd party software audits done. It is explained in this document.', ""Element's most recent deployment took place on July 22nd 2021.\n\xa0Peckshield completed a smart contract audit on April 14th 2021.\n\xa0\n\xa0Runtime Verification delivered their Element Finance Smart contract audit on April 26th 2021.\n\xa0\n\xa0\n\xa0""]",https://etherscan.io/address/0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48#analytics
144,Geist,https://github.com/DeFiSafety/Process-Version-0.8,['Fantom'],50%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'This protocol underwent two audits post launch. ']",https://docs.defisafety.com/v/0.8/review-process-documentation/0.8-blank#code-used-appendix
145,Frax,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Avalanche', 'BnB Smart Chain', 'Ethereum', 'Fantom', 'Moonriver', 'Polygon', 'Solana', 'Aurora', 'Harmony', 'Optimism']",81%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Frax has been audited once, before launch.  3 major findings were not corrected.']",https://etherscan.io/address/0x853d955aCEf822Db058eb8505911ED77F175b99e#analytics
146,Yearn, ,"['Arbitrum', 'Ethereum', 'Fantom']",93%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Yearn and its respective products have been audited countless times, both before and after launch. Yearn should be commended for this commitment to security - DeFiSafety has not seen this many audits conducted on a protocol before.']",https://github.com/DeFiSafety/Process-Version-0.8
147,Convex,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],89%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Convex was audited once before deployment. ']",https://docs.defisafety.com/v/0.8/review-process-documentation/0.8-blank#code-used-appendix
148,PadSwap,https://github.com/DeFiSafety/Process-Version-0.8,"['BnB Smart Chain', 'Moonriver', 'Moonbeam']",30%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'PadSwap has been audited. This audit was post-launch.']",https://github.com/DeFiSafety/Process-Version-0.8
149,StakeDAO,https://github.com/DeFiSafety/Process-Version-0.8,"['Avalanche', 'BnB Smart Chain', 'Ethereum', 'Polygon', 'Harmony']",65%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'This protocol has not documented an audit.']",https://docs.defisafety.com/v/0.8/review-process-documentation/0.8-blank#code-used-appendix
150,Aave V3,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Arbitrum', 'Avalanche', 'Ethereum', 'Fantom', 'Polygon', 'Harmony', 'Optimism']",94%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Aave has undergone multiple audits which were released before deployment.']",https://etherscan.io/address/0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9#analytics
151,Set Protocol, https://www.setprotocol.com/?ref=block123,"['Ethereum', 'Polygon', 'Optimism']",76%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Set has been audited twice, both times before launch.']",#executing-code-appendix
152,Gnosis Safe,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Arbitrum', 'Avalanche', 'BnB Smart Chain', 'Ethereum', 'Polygon', 'Aurora', 'Optimism', 'Gnosis Chain', 'Energy Web Chain']",76%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""The latest release and deployment (1.3.0) of Gnosis Safe took place on November 18th 2021.\n\xa0Gnosis Safe 1.3.0 release was audited by G0 Group's Adam Kolář in May 2021, where no issues were found.\n\xa0Previous releases of Gnosis Safe were audited over the last 4 years, adding up to a total of 5 different audits.\n\xa0""]",https://etherscan.io/address/0xa6b71e26c5e0845f74c812102ca7114b6a896ab2#analytics
153,Balancer V2,https://defi-safety.s3.amazonaws.com/Balance_V2_PQR_c5690db6db.pdf,"['Arbitrum', 'Ethereum', 'Polygon']",94%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""Balancer has been audited by Trail of Bits, OpenZeppelin and Certora before the protocol's v2 deployments.""]",https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf
154,Tarot,https://github.com/DeFiSafety/Process-Version-0.8,['Fantom'],36%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Although Tarot has not been audited yet, they currently have an audit underway by Certik.']",https://docs.defisafety.com/v/0.8/review-process-documentation/0.8-blank#code-used-appendix
155,Reaper Farm,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Fantom'],63%,"[""There is no documentation of the protocol's software architecture. Some basic function information can be found in the audit report by solidity finance, but we do not count this documentation in the scope of our review. Proper documentation must be hosted natively in the developer's own documentation repository for it to have an impact on the score."", ""There is 0% coverage of deployed contracts by software function documentation. Some basic function information can be found in the audit report by solidity finance, but we do not count this documentation in the scope of our review. Proper documentation must be hosted natively in the developer's own documentation repository for it to have an impact on the score.\n\xa0\n\xa0However, Reaper Farm does include some SDK documentation. We will therefore award 20% for this question."", ""There is 0 traceability between software documentation and implemented code. Some basic function information can be found in the audit report by solidity finance, but we do not count this documentation in the scope of our review. Proper documentation must be hosted natively in the developer's own documentation repository for it to have an impact on the score.\n\xa0\n\xa0SDK documentation has implicit traceability, therefore 20% will be awarded for this question."", 'This section looks at the 3rd party software audits done. It is explained in this document.', 'Solidity Finance preformed an audit on May 28th, 2021.\n\xa0This is a low-quality audit that failed to highlight any issues. The auditor ran an arbitrary number of tests on the protocol and failed to elaborate on any. The addition of software architecture information as well as some basic function documentation does nothing to detract from the fact that solidity.finance has failed to demonstrate proper due diligence on this protocol.\n\xa0\n\xa0However, Reaper Farm does provide a changelog and an appropriate technical description of the differences between Yearn vaults and Reaper vaults. In addition, the core architecture of the Reaper vaults is clearly explained to be a 1:1 replica of Yearn vaults. Since that code is effectively audited, we will consider it as part of this metric. Hence, Reaper is awarded a 90%.']",https://ftmscan.com/address/0xc653c5128c8d135ff8ad796353128aff872ff1ba#analytics
156,PoolTogether v4,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Avalanche', 'Ethereum', 'Polygon']",95%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""This protocol's V4 was audited once before release.  In addition, the PoolTogether v4 release implements many elements of the v3 Prize Pool's core software architecture which has been audited multiple times. This can be seen at https://v3.docs.pooltogether.com/security/audits-and-testing.""]",https://docs.defisafety.com/v/0.8/review-process-documentation/0.8-blank#code-used-appendix
157,Origin,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],86%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'OUSD has been audited multiple times, though each was post-launch. This protocol will not be repeating this mistake: \n\xa0> Developers deploying untested contracts before essential security audits have been completed need to be more comprehensive and diligent when developing their products.\n\xa0\n\xa0This is commendable. Many protocols do not learn from this mistake.']",https://docs.defisafety.com/v/0.8/review-process-documentation/0.8-blank#code-used-appendix
158,Venus,https://venus.io,['BnB Smart Chain'],75%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Venus was audited once before deployment.  The auditing firm was CertiK.']",https://github.com/DeFiSafety/Process-Version-0.8
159,Solidex,https://github.com/DeFiSafety/Process-Version-0.8,['Fantom'],23%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Solidex is currently unaudited, although there is one reportedly underway.']",https://github.com/DeFiSafety/Process-Version-0.8
160,Liquity,https://www.liquity.org/,['Ethereum'],97%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Liquity was audited multiple times before launch. ']",#executing-code-appendix
161,mStable,https://defi-safety.s3.amazonaws.com/m_Stable_PQR_5681c3213d.pdf,"['Ethereum', 'Polygon']",93%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""mStable has had audits from ConsenSys Diligence and Bramah Systems (before deployment), as well as from Certik and PeckShield (after deployment). All audit reports can be found here.. There's even a link to the old version of our process quality review - lucky us!""]",https://github.com/DeFiSafety/Process-Version-0.8
162,Solace,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Ethereum', 'Polygon', 'Aurora']",91%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Solace was audited twice before deployment.']",https://etherscan.io/address/0x501Ace47c5b0C2099C4464f681c3fa2ECD3146C1#analytics
163,Hats Finance,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],96%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""Hats' is audited. It underwent multiple audits, all of which were before launch.""]",https://docs.hats.finance/
164,Serum DEX,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Solana'],53%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Serum DEX is unaudited.']",https://solanabeach.io/address/9xQeWvG816bUx9EPjHmaT23yvVM2ZWbrrpZb9PusVFin
165,Notional Finance,https://notional.finance/,['Ethereum'],85%,"['This protocol has undergone formal verification.  The report is at : https://github.com/notional-finance/contracts-v2/blob/master/audits/Certora%20-%20Formal%20Verfication%20Report%2C%20Nov%201%202021.pdf\n\xa0', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'Multiple audits before deployment at https://github.com/notional-finance/contracts-v2/tree/master/audits.  These audits seem thorough and it appears the changes were implemented.']",https://etherscan.io/address/0x1344A36A1B56144C3Bc62E7757377D288fDE0369#code
166,Tulip Protocol,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Solana'],45%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Tulip is unaudited.']",https://solanabeach.io/address/4bcFeLv4nydFrsZqV5CgwCVrPhkQKsXtzfy2KyMz7ozM
167,Solend,https://decrypt.co/103489/solend-whale-108m-loan-nearly-crashed-solana,['Solana'],86%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""Kudelski has published a high-quality Solend audit on September 28th, 2021. However, the audit itself was performed from July 12th to August 3rd, 2021, meaning that Solend's code was effectively battle-tested before their mainnet launch on August 13th, 2021.""]",#executing-code-appendix
168,Defrost finance,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Avalanche'],56%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'DeFrost was audited once before launch.  The audit was conducted by CertiK.']",https://docs.defisafety.com/v/0.8/review-process-documentation/0.8-blank#code-used-appendix
169,Orca,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Solana'],39%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""Orca's swap has been audit by a different firm (because it was forked). Orca's whirlpool contract has been audited twice, though only one report is public.  As such, we will award points for one audit.""]",https://docs.defisafety.com/v/0.8/review-process-documentation/0.8-blank#code-used-appendix
170,Uniswap V3,https://app.uniswap.org/#/swap?chain=mainnet,"['Arbitrum', 'Ethereum', 'Polygon', 'Optimism']",96%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Uniswap V3 1.0.0 was deployed on Mat 5th 2021.\n\xa0Uniswap V3 was audited by Trail of Bits on March 12th 2021.\n\xa0Uniswap V3 was audited by ABDK on March 23rd.\n\xa0\n\xa0Trail of bits found some high to mid severity issues, while ABDK uncovered an abnormally large number of minor issues, 159. The trail of bits audit does not specify whether the changes have been implemented.\n\xa0']",#executing-code-appendix
171,Biswap,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['BnB Smart Chain'],11%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'A single audit was performed by Certik before deployment at: https://biswap.org/pdf/BiswapAudit.pdf. Since the contract addresses were not found, the score is 0% because the executing code could be different than the audited code without being able to verify. In addition, it is unclear whether the recommended fixes from the Certik report were ever implemented by the Biswap team. This is concerning because, according to the Certik website, the outlined medium issues pertaining to centralization / privileges are still unresolved after 9 months. Another issue of the same kind was found in a subsequent audit, and this one also remains unsolved.']",https://docs.defisafety.com/v/0.8/review-process-documentation/process-quality-review-documentation#code-documentation
172,Multichain.org,https://medium.com/multichainorg/multichain-contract-vulnerability-post-mortem-d37bfab237c8,"['Arbitrum', 'Avalanche', 'Celo', 'Ethereum', 'Fantom', 'HECO', 'Moonriver', 'Polygon', 'Terra', 'Aurora', 'Harmony', 'Optimism', 'Moonbeam', 'Gnosis Chain']",36%,"['There are no documented tests for code coverage in the Multichain GitHub or audits.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'AnySwap has been audited once before launch (it is now known as multichain since a rebranding). It has been since audited multiple times, with a Trail of Bits security assessment being released very recently.']",https://docs.defisafety.com/v/0.8/review-process-documentation/process-quality-review-documentation#smart-contracts-and-team
173,Synthetix,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],97%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Synthetix has been audited 20+ times, both before and after deployment. Audit history can be found here.']",https://etherscan.io/address/0x57Ab1ec28D129707052df4dF418D58a2D46d5f51#analytics
174,C.R.E.A.M Finance v2,https://defi-safety.s3.amazonaws.com/export2_b0545fb906.pdf,"['Arbitrum', 'BnB Smart Chain', 'Ethereum', 'Polygon']",61%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'C.R.E.A.M. underwent an audit pre-deployment by Trail of Bits']",https://halborn.com/explained-the-cream-finance-hack-october-2021/
175,Raydium,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Solana'],51%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Raydium has been audited by Kudelski, and the report can be found here. This audit was performed right after their amm launch, and right before their staking launch.\n\xa0\n\xa0Since Raydium is close-sourced, the audit is non-traceable and non-verifiable. 25% will be deducted from this, giving Raydium a 65% for this metric.']",https://docs.defisafety.com/v/0.8/review-process-documentation/process-quality-review-documentation#code-documentation
176,Grim Finance,https://rekt.news/grim-finance-rekt/,['Fantom'],0%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""Multiple audits took place post deployment, but since the repository is private 25% is deducted. Indeed, Solidity.finance's first audit took place before the reentrancy exploit that this protocol underwent but did not ensure a reentrancy guard was implemented in the relevant locations. ""]",https://dashboard.grim.finance/
177,Goldfinch,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],93%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'This protocol has undergone multiple audits, though it is unclear when the protocol launched. While the token launch is documented, the lending borrowing aspect is of an undocumented time origin. It is that each iteration is being audited nonetheless with V1, V2 and V2.2s all receiving separate audits. ']",https://etherscan.io/token/0xba0439088dc1e75f58e0a7c107627942c15cbb41
178,Pangolin,https://twitter.com/shunduquar/status/1534989160381136909,['Avalanche'],26%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Code is forked from Uniswap V2 which was audited however the link to the audit does not work (404). Recently, Pangolin has been audited multiple times by Halborn, in which changes were identified, addressed and solved.']",#executing-code-appendix
179,Compound,https://defi-safety.s3.amazonaws.com/export_0b94a8c77c.pdf,['Ethereum'],93%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Compound has had consistent audits through their development as documented on their site. They have audits from two top level audit organizations. The audits are public and they have implemented findings in order to improve their code. In addition, numerous audits were released previous to their latest deployment.']",https://rekt.news/overcompensated/
180,GMX,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Arbitrum', 'Avalanche']",85%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'GMX has been audited once pre-launch by ABDK Consulting. The audit report can be found here. Any major issues found were resolved by the GMX team, as mentioned here.']",https://snowtrace.io/address/0x5F719c2F1095F7B9fc68a68e35B51194f4b6abe8#code
181,Defi Saver,https://media.dedaub.com/ethereum-pawn-stars-5-7m-in-hard-assets-best-i-can-do-is-2-3m-b93604be503e,['Ethereum'],88%,"['This section looks at the 3rd party software audits done. It is explained in this document.', ""Consensys audited DeFi Saver's Recipes from March 22nd 2021 to April 2nd 2021 at commit hash cb29669a84c2d6fffaf2231c0938eb407c060919. The following contracts are not included in the audit, but were still looked at to understand the functioning of the protocol.\n\xa0- contracts/DS/DSProxyFactoryInterface.sol\n\xa0- contracts/DS/DSMath.sol\n\xa0- contracts/DS/DSGuard.sol\n\xa0- contracts/DS/DSAuthority.sol\n\xa0- contracts/DS/DSProxy.sol\n\xa0- contracts/DS/DSNote.sol\n\xa0- contracts/DS/DSAuth.sol\n\xa0In this audit, all non-minor issues were fixed.\n\xa0\n\xa0Dedaub audited DeFiSaver Recipes on March 30th 2021 at commit cb29669a. The scope includes the entire repository except for the following contracts.\n\xa0- StrategyExecutor.sol\n\xa0- Subscriptions.sol\n\xa0- SubscriptionProxy.sol\n\xa0- BotAuth.sol\n\xa0- ProxyAuth.sol\n\xa0- Several utility contracts\n\xa0\n\xa0All issues were resolved or dismissed.\n\xa0\n\xa0Dedaub also audited DeFiSaver's V3 Strategies in December 2021. The scope includes\n\xa0- Core\n\xa0- Auth\n\xa0- Triggers\n\xa0- ActionBase.sol\n\xa0- actions/checkers\n\xa0- actions/fee\n\xa0- utils/TempStorage.sol\n\xa0All issues were low severity or advisory issues. All issues were either closed or dismissed\n\xa0\n\xa0This protocol is clearly well audited, however we are docking 10% due to their pre-audit deployment""]",https://docs.defisafety.com/v/0.8/review-process-documentation/process-quality-review-documentation#smart-contracts-and-team
182,Dopex,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Arbitrum', 'Avalanche', 'BnB Smart Chain', 'Ethereum']",36%,"['No Dopex SSOV contract repository is listed. Aside from a Uniswap-V2 Oracle, this repository contains no contracts. This renders the project closed-source. No commits to contract repositories are detailed, making us unable to award points. Indeed, an audit references contracts that were once available for viewing. The contracts are thus committed but private.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'Dopex has undergone multiple pre-launch audits as it developed. A final audit was completed in June 2021, long before launch. However, since Dopex is closed source and therefore renders the audited code unavailable for comparison, we will deduct 25% from the score of this question.']",#code-used-appendix
183,Stargate ,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Arbitrum', 'Avalanche', 'BnB Smart Chain', 'Ethereum', 'Fantom', 'Polygon', 'Optimism']",60%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Stargate was audited twice before launch and once after. ']",#code-used-appendix
184,UniFi,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Avalanche', 'BnB Smart Chain', 'Ethereum', 'Polygon', 'Harmony', 'BitTorrent Chain', 'Ontology', 'Tron', 'IoTeX', 'Icon']",43%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'UniFi was audited once by SlowMist. This audit was pre-deployment.']",#code-used-appendix
